question,answer
"Tôi không đăng nhập được vào hệ thống thì phải làm sao?","Bạn hãy kiểm tra lại tên đăng nhập và mật khẩu. Nếu vẫn không được, hãy thử sử dụng chức năng quên mật khẩu."
"Tại sao tôi không truy cập được một số chức năng?","Có thể chức năng đó không dành cho vai trò hiện tại của bạn trong hệ thống."
"Hệ thống báo không thực hiện được thao tác là gì?","Điều này thường xảy ra khi thao tác không phù hợp với trạng thái hiện tại của thiết bị hoặc yêu cầu."
"Tại sao tôi không thấy thiết bị trong danh sách?","Thiết bị có thể chưa được gán cho khoa của bạn hoặc đang được lọc theo trạng thái khác."
"Dữ liệu hiển thị không cập nhật mới nhất thì phải làm sao?","Bạn hãy tải lại trang hoặc đăng xuất và đăng nhập lại để đồng bộ dữ liệu."
"Tôi gửi yêu cầu nhưng không thấy phản hồi?","Yêu cầu của bạn có thể đang ở trạng thái chờ xử lý. Bạn có thể kiểm tra trong danh sách yêu cầu đã gửi."
"Tại sao thiết bị tôi chọn không thao tác được?","Thiết bị có thể đang trong quá trình sửa chữa hoặc không ở trạng thái cho phép thao tác."
"Tôi thấy trạng thái thiết bị thay đổi liên tục là sao?","Trạng thái thiết bị được cập nhật theo quá trình xử lý từ bác sĩ và kỹ thuật viên."
"Tại sao tôi không xem được thông tin chi tiết?","Có thể bạn không có quyền xem đầy đủ thông tin hoặc dữ liệu đó thuộc phạm vi khác."
"Ứng dụng chạy chậm hoặc không phản hồi thì làm gì?","Bạn hãy thử tải lại trang, kiểm tra kết nối mạng hoặc đăng nhập lại hệ thống."
"Tôi không thấy nút báo hỏng thiết bị?","Nút này chỉ hiển thị khi thiết bị đang ở trạng thái có thể báo hỏng."
"Tại sao thiết bị đã sửa xong nhưng vẫn hiển thị đang sửa?","Có thể hệ thống chưa kịp cập nhật trạng thái, bạn hãy tải lại trang."
"Tôi có thể xem lịch sử sửa chữa không?","Có, bạn có thể xem lịch sử sửa chữa của từng thiết bị trong phần chi tiết thiết bị."
"Tại sao tôi không thấy thiết bị thuộc khoa mình?","Thiết bị có thể thuộc khoa khác hoặc chưa được phân bổ vào khoa cụ thể."
"Thông tin thiết bị không chính xác thì xử lý thế nào?","Bạn nên báo cho quản trị viên hệ thống để kiểm tra và cập nhật lại dữ liệu."
"Tôi không nhận được thông báo hệ thống thì sao?","Hãy kiểm tra lại cài đặt thông báo hoặc đăng nhập lại hệ thống."
"Vì sao tôi bị đăng xuất khỏi hệ thống?","Phiên đăng nhập có thể đã hết hạn, bạn cần đăng nhập lại."
"Tôi không tìm thấy chức năng mình cần?","Chức năng có thể không thuộc vai trò của bạn hoặc đang được ẩn theo cấu hình hệ thống."
"Tại sao thiết bị hiển thị trạng thái không rõ ràng?","Trạng thái thiết bị phụ thuộc vào quá trình xử lý và có thể thay đổi theo thời gian."
"Tôi nhập thông tin nhưng hệ thống không lưu lại?","Bạn hãy kiểm tra lại các trường bắt buộc và thử gửi lại form."
"Tại sao không thể gửi yêu cầu báo hỏng?","Có thể thiết bị không ở trạng thái cho phép báo hỏng hoặc bạn chưa chọn đầy đủ thông tin."
"Tôi không thấy danh sách kỹ thuật viên?","Danh sách kỹ thuật viên chỉ hiển thị cho người dùng có quyền quản lý."
"Thiết bị vừa sửa xong nhưng không dùng được ngay?","Có thể cần thời gian cập nhật trạng thái hoặc kiểm tra lại sau khi hoàn tất sửa chữa."
"Tôi không thấy lịch sử thao tác của mình?","Có thể hệ thống chưa ghi nhận hoặc bạn không có quyền xem toàn bộ lịch sử."
"Tại sao tôi không thể chọn thiết bị để sửa chữa?","Thiết bị có thể chưa được giao cho kỹ thuật viên hoặc chưa có yêu cầu sửa chữa."
